form,tag,count
내,VX,448
쓰,VV,439
크,VA,433
참,MAG,432
hey,SL,432
빛,NNG,430
참,VV,430
그래,IC,428
it,SL,428
언젠가,MAG,426
라면,EC,425
약속,NNG,424
돌,VV,424
시작,NNG,423
감,VV,423
라는,ETM,418
re,SL,418
두,VV,417
놓,VX,416
은데,EC,413
now,SL,413
어떤,MM,411
눈빛,NNG,410
for,SL,410
my,SL,410
girl,SL,408
깊,VA,407
다가오,VV,407
늘,MAG,406
세월,NNG,406
그저,MAG,405
단,MM,405
come,SL,404
아픔,NNG,402
지나가,VV,402
빠지,VV,395
향하,VV,395
그때,NNG,394
살아가,VV,393
마다,JX,390
홀로,MAG,390
과,JKB,389
가득,MAG,389
사라지,VV,389
만큼,NNB,387
boy,SL,384
do,SL,383
씩,XSN,383
죠,EC,382
내,VV,382
아침,NNG,379
좋아하,VV,379
따르,VV,378
이유,NNG,376
가끔,MAG,374
get,SL,374
데,NNB,373
오,EC,372
one,SL,372
this,SL,372
no,SL,371
with,SL,369
어느,MM,368
척,NNB,368
어리,VA,368
그리움,NNG,367
what,SL,367
나,VX,366
네요,EF,363
목소리,NNG,363
몸,NNG,363
님,NNG,361
삶,NNG,360
이미,MAG,358
조금,NNG,355
얼마나,MAG,353
집,NNG,353
la,SL,352
ᆫ다는,ETM,351
밉,VA,351
조차,JX,350
울리,VV,350
uh,SL,348
바래,VV,348
그만,MAG,346
말,VV,346
ᆯ까,EF,344
want,SL,343
그리,VV,342
서로,MAG,341
잃,VV,341
길,VA,340
기에,EC,339
차갑,VA,339
불,VV,339
인생,NNG,338
어쩌,VV,338
어떡하,VV,338
내일,NNG,335
걱정,NNG,335
자리,NNG,334
웃음,NNG,334
흘리,VV,331
무엇,NP,330
ah,SL,330
back,SL,327
ᆯ지,EC,326
바로,MAG,326
이렇게,MAG,326
피,VV,326
그러,VV,326
',SSC,325
타,VV,325
i,SL,324
입술,NNG,323
오,IC,321
으며,EC,319
향기,NNG,318
사이,NNG,318
자신,NNG,318
하얗,VA,318
두렵,VA,318
서로,NNG,317
돌아가,VV,317
아주,MAG,316
we,SL,316
나오,VV,316
느낌,NNG,315
뜨겁,VA,314
아무,NP,312
그,NP,310
지,VV,310
이대로,MAG,309
조금,MAG,309
스치,VV,308
are,SL,307
ᆯ래,EC,305
거짓말,NNG,305
끝나,VV,305
달,NNG,304
바다,NNG,304
',SSO,304
say,SL,303
들리,VV,299
뛰,VV,299
eh,SL,298
밖에,JX,297
uh,SL,297
let,SL,297
1,SN,296
돌아서,VV,295
세요,EF,291
하지만,MAJ,291
적,NNB,291
이해,NNG,290
그거,NP,290
got,SL,289
come,SL,289
만들,VV,289
ᆫ가,EF,286
품,NNG,285
빛나,VV,284
right,SL,283
이야,JX,282
기분,NNG,282
맞,VV,281
그대로,MAG,279
아래,NNG,279
어둠,NNG,279
down,SL,278
don,SL,278
치,VV,278
just,SL,277
make,SL,277
마저,JX,276
혹시,MAG,274
려고,EC,273
feel,SL,273
혼자,MAG,272
오늘,MAG,272
짓,VV,272
오,NR,271
time,SL,271
need,SL,271
ll,SL,271
그,IC,269
u,SL,269
이것,NP,268
늦,VA,268
let,SL,266
먹,VV,266
안녕,IC,265
오직,MAG,264
ya,SL,264
스럽,XSA,264
ᆯ래,EF,262
아무리,MAG,261
all,SL,261
묻,VV,261
just,SL,258
모두,NNG,257
애,NNG,256
a,SL,256
so,SL,255
젖,VV,254
ᆯ수록,EC,253
술,NNG,253
심장,NNG,253
채우,VV,253
고서,EC,252
무슨,MM,252
이러,VV,252
네,MM,251
으니,EC,250
후,NNG,250
미련,NNG,249
날,VV,249
대로,NNB,248
전화,NNG,247
걸,VV,247
맞추,VV,247
구름,NNG,246
ᆸ니다,EF,245
봄,NNG,245
앉,VV,245
단,ETM,243
애쓰,VV,243
햇살,NNG,242
tell,SL,241
취하,VV,241
of,SL,239
찾아오,VV,239
good,SL,238
견디,VV,238
만큼,JKB,237
소중,XR,237
흔들,VV,235
떠오르,VV,234
나쁘,VA,232
숨기,VV,232
잠시,MAG,231
먼저,MAG,231
동안,NNG,231
롭,XSA,231
춤,NNG,230
입,NNG,230
그리고,MAJ,228
ah,SL,228
계속,MAG,227
남,NNG,227
열,VV,227
night,SL,225
비,VV,225
여름,NNG,224
외로움,NNG,224
떨리,VV,224
음악,NNG,223
듯,EC,222
중,NNB,222
담,VV,222
지내,VV,222
다르,VA,221
추,VV,221
마치,MAG,220
2,SN,220
나,EF,219
표정,NNG,219
dumb,SL,219
멋지,VA,219
안기,VV,219
ᆯ게,EC,217
잊히,VV,217
달콤,XR,217
리,EC,216
life,SL,216
꾸,VV,216
몰래,MAG,215
어느새,MAG,215
놓,VV,215
ᆯ께,EC,214
돈,NNG,214
대여,NNG,214
bye,SL,213
수많,VA,211
어라,EF,210
비추,VV,210
새,NNG,209
이야기,NNG,209
아무것,NNG,209
떨어지,VV,209
자,VV,209
쯤,XSN,209
전부,NNG,208
u,SL,208
bad,SL,208
